city,lat,lng,country,timestamp,aqi_val,co,no,no2,o3,pm2_5,pm10,nh3
Mykolaiv,46.975,31.995,Ukraine,1699483201,1,230.31,0.0,1.19,37.55,5.5,5.78,0.08
Toulouse,43.6045,1.444,France,1699483192,1,243.66,0.0,4.8,58.65,2.78,3.57,0.9
Cheboksary,56.1333,47.25,Russia,1699483201,1,236.99,0.0,3.38,28.61,0.54,0.62,0.08
Gdansk,54.3475,18.6453,Poland,1699482638,1,260.35,0.0,7.45,44.35,3.1,4.35,0.56
Bratislava,48.1439,17.1097,Slovakia,1699483201,1,357.15,0.63,26.39,8.32,5.31,7.83,0.78
Kaliningrad,54.7003,20.4531,Russia,1699483201,1,243.66,0.0,4.8,52.21,1.35,2.04,0.31
Stavropol,45.05,41.9833,Russia,1699482709,1,233.65,0.0,3.64,46.49,4.42,4.91,0.35
Batman,37.887,41.132,Turkey,1699483202,2,290.39,0.0,13.88,33.26,24.96,27.81,5.38
Kahramanmaras,37.5833,36.9333,Turkey,1699483202,2,247.0,0.0,12.0,44.7,23.85,34.63,6.65
Tallinn,59.4372,24.7453,Estonia,1699483202,1,240.33,0.0,2.59,52.93,0.91,1.01,0.01
Zurich,47.3744,8.5411,Switzerland,1699483178,2,607.49,14.98,57.58,0.02,22.29,27.61,10.77
Trabzon,41.005,39.7225,Turkey,1699483202,2,277.04,0.0,8.4,47.92,13.58,16.45,2.41
Malatya,38.3486,38.3194,Turkey,1699483202,3,280.38,0.0,17.82,34.69,26.05,30.95,6.21
Elazig,38.6744,39.2228,Turkey,1699482695,3,287.06,0.0,16.45,47.21,29.4,34.14,15.71
Sarajevo,43.8564,18.4131,Bosnia and Herzegovina,1699483202,1,233.65,0.0,6.17,27.54,5.94,8.32,0.81
Tirana,41.3289,19.8178,Albania,1699483202,1,343.8,0.04,13.2,21.99,6.83,9.08,0.7
