city,lat,lng,country,avg_trend_val,population,review_count,number_of_attractions,attraction_reviews,attraction_photos
Tallinn,59.4372,24.7453,Estonia,53.27586206896552,438341.0,260487,833,76646,75375
Kars,40.6078,43.0958,Turkey,52.3448275862069,115891.0,6684,29,1877,3302
Sivas,39.75,37.0167,Turkey,52.16475095785441,377561.0,3851,95,1041,3490
Orleans,47.9025,1.909,France,51.53256704980843,116269.0,56414,128,6797,5615
Erzurum,39.9086,41.2769,Turkey,50.67816091954023,767848.0,5915,72,1651,2635
Bern,46.9481,7.4475,Switzerland,48.6551724137931,133883.0,75711,256,18764,16422
Cork,51.8972,-8.47,Ireland,45.28352490421456,222333.0,191922,418,34048,24636
Vienna,48.2083,16.3725,Austria,43.22988505747127,1973403.0,1202912,2338,339473,300189
Wroclaw,51.11,17.0325,Poland,43.191570881226056,672929.0,142585,506,37358,43004
Budapest,47.4925,19.0514,Hungary,41.11494252873563,2997958.0,1493107,2587,482100,360476
Bergen,60.3894,5.33,Norway,40.42145593869732,267117.0,145420,415,49535,39313
Dusseldorf,51.2333,6.7833,Germany,39.2183908045977,645923.0,198505,547,31917,35711
Dresden,51.05,13.74,Germany,37.99233716475096,561922.0,153952,523,43208,40024
Salzburg,47.8,13.045,Austria,37.2183908045977,155021.0,240530,476,77371,69104
Barcelona,41.3825,2.1769,Spain,36.12643678160919,4800000.0,3517752,5062,1031627,711149
Toulouse,43.6045,1.444,France,36.0919540229885,493465.0,294494,622,46904,27385
Paris,48.8567,2.3522,France,34.85057471264368,11060000.0,5065682,8806,1299872,885187
Madrid,40.4169,-3.7033,Spain,34.59770114942529,6211000.0,2709643,3856,631089,355698
Rome,41.8931,12.4828,Italy,34.39080459770115,2872800.0,5657815,6328,1063443,750798
Naples,40.8333,14.25,Italy,32.87356321839081,966144.0,1234772,2026,209736,166799
Valencia,39.47,-0.3764,Spain,32.229885057471265,792492.0,893687,1378,204202,168622
Zagreb,45.8167,15.9833,Croatia,29.98467432950192,809268.0,174991,1006,53020,49538
London,51.5072,-0.1275,United Kingdom,29.17624521072797,11262000.0,7099844,8999,1795447,1019360
Pamplona,42.8167,-1.65,Spain,28.950191570881227,203418.0,79702,178,13287,8647
Adana,37.0,35.3213,Turkey,26.471264367816094,1765981.0,22227,120,3688,4893
Kaunas,54.8972,23.8861,Lithuania,25.99616858237548,381007.0,26692,219,7427,8368
Oradea,47.0722,21.9211,Romania,25.735632183908045,196367.0,11691,157,1971,2534
Trabzon,41.005,39.7225,Turkey,25.666666666666668,426882.0,12480,0,0,0
Bremen,53.0833,8.8,Germany,23.34099616858237,566573.0,74384,338,16802,17412
Braga,41.5503,-8.42,Portugal,22.7088122605364,181494.0,71015,226,16057,16297
Hamburg,53.55,10.0,Germany,21.89655172413793,2484800.0,500312,1229,128626,85789
Hannover,52.3667,9.7167,Germany,21.628352490421456,542668.0,70419,389,11199,12640
Antalya,36.8874,30.7075,Turkey,21.25287356321839,2426356.0,302074,944,53947,62363
Turku,60.45,22.2667,Finland,21.19540229885057,252468.0,26834,186,5147,4948
Batman,37.887,41.132,Turkey,21.1264367816092,447106.0,792,11,132,353
Stockholm,59.3294,18.0686,Sweden,20.528735632183903,1611776.0,622168,1021,177587,133747
Nantes,47.2181,-1.5528,France,20.406130268199234,318808.0,211747,402,37335,21855
Bari,41.1253,16.8667,Italy,19.89272030651341,323370.0,233937,387,20050,16483
Coimbra,40.2111,-8.4292,Portugal,19.49808429118774,143396.0,102805,240,26429,22053
Milan,45.4669,9.19,Italy,19.22222222222222,1366180.0,2178629,3286,328782,292798
Cagliari,39.2278,9.1111,Italy,18.78927203065134,154106.0,215909,417,23128,23664
Gdansk,54.3475,18.6453,Poland,18.64367816091954,486022.0,203686,593,48303,50207
Istanbul,41.0136,28.955,Turkey,17.865900383141764,16079000.0,1560700,4948,424944,497237
Brest,52.1347,23.6569,Belarus,17.64367816091954,340723.0,55820,125,11163,5832
Brussels,50.8467,4.3525,Belgium,17.444444444444443,1743000.0,816296,1480,209782,155624
Szczecin,53.4325,14.5481,Poland,16.739463601532567,403833.0,29862,190,4742,5009
Innsbruck,47.2683,11.3933,Austria,15.03831417624521,132493.0,97763,333,26472,21847
Novi Sad,45.2542,19.8425,Serbia,14.984674329501916,380000.0,21975,153,4984,7114
Rijeka,45.3272,14.4411,Croatia,14.881226053639846,191293.0,18093,196,4064,5095
Arad,46.175,21.3125,Romania,14.754789272030653,159074.0,4642,65,630,1155
Stuttgart,48.7775,9.18,Germany,14.67432950191571,2787724.0,145412,457,35395,35910
Sevilla,37.24,-5.99,Spain,14.632183908045976,1100000.0,30,2,1,50
Malatya,38.3486,38.3194,Turkey,14.551724137931034,426381.0,4006,97,834,2529
Ancona,43.6169,13.5167,Italy,13.229885057471265,100924.0,72278,161,7697,6295
