city_1,lat_1,lng_1,country_1,city_2,lat_2,lng_2,country_2,calc_distance_km,dist_km,duration_sec,estd_emissions_gm,estd_emissions_osrm_gm
Dresden,51.05,13.74,Germany,Cluj-Napoca,46.7667,23.5833,Romania,863.501479972959,1130.265,46944.2,165792.28415480815,217010.88
Dresden,51.05,13.74,Germany,Timisoara,45.7597,21.23,Romania,807.6501984553299,976.3147,36199.9,155068.83810342336,187452.4224
Dresden,51.05,13.74,Germany,Strasbourg,48.5833,7.7458,France,511.0014584817246,632.6358,22565.4,98112.28002849114,121466.0736
Dresden,51.05,13.74,Germany,Ljubljana,46.0514,14.5061,Slovenia,558.7103247496367,872.7579000000001,31843.3,107272.38235193025,167569.5168
Dresden,51.05,13.74,Germany,Maastricht,50.85,5.6833,Netherlands,566.323403796459,683.0623,24936.7,108734.09352892014,131147.9616
Dresden,51.05,13.74,Germany,Kiel,54.3233,10.1394,Germany,438.00886376629137,566.3171,21012.0,84097.70184312794,108732.8832
Dresden,51.05,13.74,Germany,Rivne,50.6192,26.2519,Ukraine,881.6628977384778,1056.8824,44633.0,169279.27636578772,202921.4208
Dresden,51.05,13.74,Germany,Kosice,48.7167,21.25,Slovakia,598.5102672833872,771.3068000000001,31181.9,114913.97131841033,148090.9056
Dresden,51.05,13.74,Germany,Ivano-Frankivsk,48.9228,24.7106,Ukraine,820.6708940837118,977.7164,39200.8,157568.81166407268,187721.5488
Dresden,51.05,13.74,Germany,Magdeburg,52.1317,11.6392,Germany,188.87949222820595,233.1748,8381.8,36264.862507815546,44769.5616
Dresden,51.05,13.74,Germany,Lille,50.6278,3.0583,France,753.2246775582387,898.2388000000001,32890.1,144619.1380911818,172461.84960000002
Dresden,51.05,13.74,Germany,Zielona Gora,51.9333,15.5,Poland,156.83551787613206,245.6628,10320.7,30112.419432217357,47167.2576
Dresden,51.05,13.74,Germany,Erfurt,50.9833,11.0333,Germany,190.07020849114613,218.1185,8395.7,36493.48003030006,41878.752
Dresden,51.05,13.74,Germany,Geneva,46.2017,6.1469,Switzerland,776.4182643732565,990.6089,36149.8,149072.30675966525,190196.90879999998
Dresden,51.05,13.74,Germany,Oradea,47.0722,21.9211,Romania,743.0393410032694,976.2633,36719.3,142663.55347262774,187442.55359999998
Dresden,51.05,13.74,Germany,Rzeszow,50.0333,22.0,Poland,596.0114540863678,689.9895,24757.5,114434.19918458263,132477.984
Dresden,51.05,13.74,Germany,Rijeka,45.3272,14.4411,Croatia,638.4636019351334,985.5016,37037.2,122585.01157154562,189216.3072
Dresden,51.05,13.74,Germany,Saarbrucken,49.2333,7.0,Germany,522.2184945875092,640.2999,22622.9,100265.95096080177,122937.5808
Dresden,51.05,13.74,Germany,Perugia,43.1122,12.3889,Italy,888.3657349103827,1261.883,46998.7,170566.22110279347,242281.53600000002
Dresden,51.05,13.74,Germany,Arad,46.175,21.3125,Romania,777.4952158646441,927.2737,34024.2,149279.08144601167,178036.5504
Dresden,51.05,13.74,Germany,Dijon,47.3167,5.0167,France,758.7185603305905,947.9801,33528.8,145673.96358347338,182012.1792
Dresden,51.05,13.74,Germany,Salzburg,47.8,13.045,Austria,364.95310859028535,608.8228,21439.8,70070.99684933478,116893.97760000001
Dresden,51.05,13.74,Germany,Miskolc,48.0833,20.6667,Hungary,599.5603271609522,864.1612,33327.4,115115.58281490282,165918.9504
Dresden,51.05,13.74,Germany,Sibiu,45.7928,24.1519,Romania,965.7717798866267,1226.0315,44951.6,185428.18173823232,235398.048
Dresden,51.05,13.74,Germany,Aalborg,57.05,9.9167,Denmark,712.9582208454136,936.3637,33688.7,136887.97840231942,179781.8304
Dresden,51.05,13.74,Germany,Targu-Mures,46.5456,24.5625,Romania,938.3156838232488,1287.2758,48932.9,180156.61129406377,247156.95359999998
Dresden,51.05,13.74,Germany,Bern,46.9481,7.4475,Switzerland,647.7088080625626,834.321,29807.7,124360.09114801203,160189.632
Dresden,51.05,13.74,Germany,Luxembourg,49.6117,6.1319,Luxembourg,564.5481897226804,680.9488,25192.1,108393.25242675463,130742.1696
Dresden,51.05,13.74,Germany,Innsbruck,47.2683,11.3933,Austria,454.008153995829,629.6028,22872.7,87169.56556719917,120883.7376
Dresden,51.05,13.74,Germany,Vasteras,59.6161,16.5528,Sweden,969.992447704906,1589.5715,61267.0,186238.54995934194,305197.728
Dresden,51.05,13.74,Germany,Orebro,59.2739,15.2075,Sweden,920.2389956141016,1494.661,57293.4,176685.8871579075,286974.912
Dresden,51.05,13.74,Germany,Baia Mare,47.6667,23.5833,Romania,807.1138886876364,1059.0754,43300.6,154965.86662802618,203342.4768
Dresden,51.05,13.74,Germany,Orleans,47.9025,1.909,France,924.792882167613,1157.9341000000002,41660.5,177560.23337618168,222323.34720000002
Dresden,51.05,13.74,Germany,Linkoping,58.4158,15.6253,Sweden,828.8058142427277,1409.6047,52919.3,159130.71633460373,270644.10240000003
Dresden,51.05,13.74,Germany,Uzhhorod,48.6239,22.295,Ukraine,671.4631770678893,853.1516,36637.2,128920.92999703475,163805.1072
